Orthogroup	Solanum_lycopersicum	Brassica_napus
OG0000281	Solyc12T000727.1, Solyc07T002317.1, Solyc07T002316.3, Solyc12T000526.1, Solyc12T000763.1, Solyc07T002756.1	CDY21326, CDX90884
OG0000282	Solyc05T001139.1	CDX77429
OG0000282	Solyc08T001147.1	CDY66441, CDX77430, CDX94823, CDX93009
OG0000289	Solyc02T001684.1, Solyc01T003796.1, Solyc01T003794.1, Solyc01T003793.2	CDY54750, CDY62515, CDY53129, CDY53648
OG0000291	Solyc02T002328.1, Solyc02T002327.1	CDY00125
OG0000292	Solyc12T001265.1	CDX98578, CDX99945, CDY38700
OG0000293	Solyc07T001607.2	CDY69479
OG0000293	Solyc07T001616.1, Solyc07T001614.1, Solyc12T000644.1, Solyc09T002839.1, Solyc07T001612.1, Solyc07T001613.1	CDY55650, CDX92924, CDY24268, CDY65253, CDY24263, CDX92923, CDY19298, CDX92922, CDY24262, CDY38640, CDY33142
OG0000303	Solyc05T000081.1	CDX85604, CDX78570, CDX70555, CDY57901, CDX69590, CDX91071
OG0000304	Solyc04T001182.1, Solyc10T001086.1, Solyc05T001780.1, Solyc09T000929.1, Solyc12T000879.1, Solyc09T001745.1, Solyc12T001764.1	CDY06401
OG0000305	Solyc04T000861.1, Solyc01T000931.1, Solyc09T002666.1	CDX92357, CDX99936, CDX98576, CDX99943
OG0000306	Solyc01T000078.1, Solyc01T001101.1	CDY04437, CDY04356
OG0000306	Solyc10T001926.1, Solyc10T001925.1, Solyc10T001930.1, Solyc10T001924.1, Solyc10T000397.1, Solyc02T000450.1	CDY21398, CDY04773
OG0000306	Solyc07T001521.1	CDY47901
OG0000313	Solyc04T001976.1	CDY60872, CDX94354
OG0000313	Solyc05T001874.1, Solyc05T001839.1, Solyc05T001834.1, Solyc05T001787.1, Solyc05T001662.1, Solyc05T001841.1, Solyc05T001838.1, Solyc05T001663.1, Solyc05T001843.1, Solyc05T001833.1, Solyc05T001628.1, Solyc05T001623.1, Solyc05T001624.1, Solyc05T001622.1, Solyc05T001784.1, Solyc05T001785.1, Solyc05T001783.1, Solyc05T001610.1, Solyc05T001613.1, Solyc05T001786.1, Solyc05T001873.1, Solyc05T001840.1	CDY36885
OG0000317	Solyc04T000427.1, Solyc07T000086.1, Solyc03T003038.1, Solyc11T002068.1, Solyc10T002923.1, Solyc09T000472.1, Solyc11T002064.1, Solyc06T002439.1	CDX73815, CDY00784, CDY50531, CDY52661
OG0000318	PRAM_25996.1.p1	CDX94788, CDY29116, CDY13104
OG0000320	Solyc05T000775.7	CDY40927, CDX95933
OG0000320	Solyc02T002398.2	CDY16129, CDY33781, CDY36429, CDX98143, CDY33783, CDY56002, CDY08134, CDY36431, CDY16128, CDY45174, CDY45171, CDY03007, CDY03008, CDY09339, CDY37178, CDY45175, CDY03011, CDY04142, CDY04143, CDY60937, CDY45173, CDY04052, CDY44412
OG0000321	Solyc05T002247.1	CDY13740, CDX76902, CDX89492
OG0000321	Solyc04T002465.1	CDY61006, CDY56577, CDX93464, CDX94932, CDX94934, CDX93466
OG0000328	Solyc10T002425.2, Solyc05T000847.1, Solyc09T001949.1, Solyc01T000514.1	CDY46783
OG0000331	Solyc01T000222.1, Solyc04T001005.2	CDY44152, CDY04706, CDY54291, CDY41444, CDX91717, CDY11588, CDY03747, CDY25787
OG0000333	Solyc01T003456.1	CDY22633, CDY06361, CDX93502, CDY50897, CDY31080, CDY20692
OG0000334	Solyc04T001145.1, Solyc04T001568.1, Solyc11T001959.1, Solyc09T001114.1, Solyc03T001434.1, Solyc10T000773.1, Solyc04T000867.1, Solyc09T001208.1, Solyc11T001054.1, Solyc03T001433.1, Solyc11T001813.1	CDY19677
OG0000336	Solyc08T000387.2, Solyc08T000384.1, Solyc08T000546.1, Solyc08T000383.1	CDY10283, CDY06713, CDY09910, CDY06267, CDX86473, CDY15618, CDX90789, CDY48575, CDX73787, CDX77948, CDY21333, CDY62000, CDY59275, CDY09154, CDY48578, CDY48574, CDY21982, CDY21332, CDY21990, CDY21988, CDY48580, CDY48576, CDY21986, CDY22112, CDY48577
OG0000337	Solyc01T000928.1, Solyc09T001201.1	CDY19673
OG0000337	Solyc11T001057.1	CDY60972
OG0000338	Solyc06T001997.3, Solyc03T002600.1	CDX81902, CDY21692, CDY09846, CDX96690, CDX83801, CDY26715, CDY45756, CDY45754, CDY30731, CDY00315, CDX84344, CDY16764, CDX87266, CDY16763, CDY69433, CDY21805, CDY51783, CDY36913, CDX83027, CDX68450
OG0000348	Solyc01T002788.1, Solyc08T002265.1	CDY57070, CDX98054, CDY16010, CDY26570, CDY26571, CDY26572, CDY16012, CDY16011, CDY17092, CDY54697
OG0000352	Solyc04T002334.1, Solyc04T002338.1, Solyc04T002341.1, Solyc04T002335.1, Solyc12T002319.3, Solyc04T002333.1, Solyc12T002318.1	CDY38225, CDY21358, CDY21359, CDY46643
OG0000365	Solyc10T002896.1, Solyc09T002489.1, Solyc09T002488.1, Solyc09T002487.1, Solyc09T002486.1, Solyc09T002484.2, Solyc09T002482.1, Solyc09T002483.1, Solyc09T002485.1	CDY07693, CDY14424, CDX93297, CDY39726
OG0000366	Solyc08T000243.4, Solyc01T003166.1, Solyc01T001976.1, Solyc01T002683.1, Solyc10T000680.1	CDX71796, CDY41153, CDX89063, CDY48365, CDX67837, CDY37029, CDY27392, CDX83400, CDX95631
OG0000367	Solyc02T002645.1	CDY68278, CDY39614
OG0000367	Solyc01T000031.1, Solyc01T000030.1, Solyc01T000019.1	CDY12685, CDY54658, CDY01878, CDX96052
OG0000368	Solyc09T000204.1, Solyc10T002685.1, Solyc06T002350.1, Solyc11T002331.1, Solyc03T002516.1	CDY07941, CDX73996, CDY41316, CDY22207, CDY54618, CDY41581, CDY11249, CDX80862, CDX73571, CDY13308, CDX67563
OG0000369	Solyc12T000743.5, Solyc07T002732.1	CDY53760, CDY42390, CDY26084, CDY10526, CDY08264, CDY08263, CDY26085
OG0000370	Solyc10T002876.1, Solyc10T002875.1, Solyc12T001887.1, Solyc12T001885.1, Solyc10T002667.1	CDY55264, CDY33189, CDY33193, CDX75014, CDX75015, CDY33191, CDY53268, CDY70880, CDY63987, CDX84547, CDY33195, CDY53269, CDY33194, CDX75013, CDX75012, CDX84548
OG0000371	Solyc06T000040.1, Solyc06T002067.1, Solyc05T002577.1, Solyc11T002549.1, Solyc04T000422.1	CDX71081, CDY70247, CDX86050, CDX93630, CDY15777, CDY06280
OG0000372	PRAM_25896.1.p1	CDY61717, CDY13083, CDX98639
OG0000380	Solyc01T000835.1, Solyc05T001647.1, Solyc04T001045.1, Solyc08T000922.1, Solyc11T001158.1, Solyc08T001020.1, Solyc07T001502.1, Solyc12T001639.1, Solyc10T000663.1, Solyc02T000079.1, Solyc10T002185.1, Solyc06T000777.1, Solyc11T001670.1, Solyc01T001254.1, Solyc12T001048.1, Solyc12T001864.1, Solyc01T001732.1, Solyc11T001022.1, Solyc10T001663.1, Solyc04T001812.1, Solyc11T001288.1, Solyc05T001338.1, Solyc06T000496.1, Solyc05T000916.1, Solyc06T000660.1, Solyc09T001548.1, Solyc10T002203.1, Solyc01T000836.1, Solyc04T002339.1, Solyc05T001648.1, Solyc05T002127.1	CDX73283
OG0000381	Solyc01T001922.1, Solyc12T001218.1, Solyc01T000567.1	CDY15040
OG0000385	Solyc01T000451.1	CDY05007, CDY14064
OG0000387	Solyc01T002798.1, Solyc05T002204.1, Solyc10T000649.1	CDY57107, CDY37037, CDX74737, CDY72000
OG0000388	Solyc05T002536.1, Solyc11T000644.1	CDX79621, CDY69773, CDY40441, CDY71930
OG0000389	Solyc02T001223.1, Solyc08T000607.1	CDY35262, CDX90223, CDX98172, CDY43206, CDX99878, CDY26299
OG0000389	Solyc07T002369.1, Solyc07T002370.1, Solyc07T002363.1, Solyc10T000263.1	CDY52444, CDX88447, CDY14480, CDY52443, CDY60153, CDY26865
OG0000390	Solyc01T003005.1	CDX74020, CDY07964, CDY22147
